"ISBN","AUTHOR","TITLE","CATEGORY","SERIES","RATING","BOOKFORMAT","READ","LOCATION","VALUE","PUBLISHER","PUBDATE","COPYRIGHTDATE","PAGES"
"192946200X","Abrams, Peter","Sluggy Freelance: When Holidays Attack!","Comics & Graphic Novels : Comic Strips : General","","","Paperback","Y","Books 19","$12.95","Plan Nine Publishing","December 17, 1999","1999","160"
"0966067630","Abrams, Peter","Sluggy Freelance: Worship the Comic","Comics & Graphic Novels : Comic Strips : General","","","Paperback","Y","Books 19","$12.95","Plan Nine Publishing","June 30, 1999","1999","160"
"0966963520","Abrams, Rhonda","The Successful Business Plan: Secrets and Strategies","Business & Investing : General","","4.0 Stars","Paperback","N","2nd Floor Storeroom","$7.98","Running &doublequote;R&doublequote; Media","March 15, 2000","2000","409"
"1576101746","Abrash, Michael","Michael Abrash's Graphics Programming Black Book (Special Edition)","Computers & Internet : Graphic Design : General","","4.5 Stars","Paperback","N","2nd Floor Storeroom","$25.00","Coriolis Group Books","July 1, 1997","1997","1342"
"006143888X","Acevedo, Mario","The Nymphos of Rocky Flats (Book 1)","Science Fiction & Fantasy : Fantasy : Vampires","Felix Gomez Series","3.5 Stars","Mass Market Paperback","Y","Living Room","$7.99","Eos","December 26, 2007","2006","266"
"0061438871","Acevedo, Mario","X-Rated Bloodsuckers (Book 2)","Science Fiction & Fantasy : Fantasy : Vampires","Felix Gomez Series","4.0 Stars","Mass Market Paperback","Y","Living Room","$7.99","Eos","January 29, 2008","2007","332"
"","Ackerman, Lucy (ed.)","Cast On : Summer 1988","Crafts & Hobbies : Knitting","","","Magazine","N","Emma's Studio","$0.99","The Knitting Guild of America","Summer 1988","1988","54"
"020156291X","ACM","Computer Graphics: Siggraph '91 Conference Proceedings 28 July-2 August 1991, Las Vegas, Nevada Papers Chair Thomas W. Sederberg (Vol. 25, No. 4)","Computers & Internet : Graphic Design : General","","","Paperback","N","2nd Floor Storeroom","$8.49","Assn for Computing Machinery","August 1, 1991","1991","392"
"0201509334","ACM","Computer Graphics: Siggraph 1990 Conference Proceedings August 6-10, Dallas Texas, Papers Chair Forest Baskett (Vol. 24, No. 4)","Computers & Internet : Graphic Design : General","","","Paperback","N","2nd Floor Storeroom","$6.00","Addison-Wesley Pub","June 1990","1990","452"
"0201948001","ACM","SIGGRAPH 1996 Conference Proceedings: Computer Graphics Annual Conference Series","Computers & Internet : Graphic Design : General","","","Oversize Paperback","N","Books 28","$78.95","Addison-Wesley Pub Co","August  5, 1996","1996","528"
"0905778669","Adair, John","By the Sword Divided : Eyewitness Accounts of the English Civil War","Biographies & Memoirs : Leaders & Notable People : Military : General","","books.mini.icon.22x22 Stars","Hardcover","N","George's Office","$2.99","","None","1983","240"
"0826405134","Adams, Carol J.","Sexual Politics of Meat: A Feminist-Vegetarian Critical Theory","Social Sciences : Womens Studies","","","Trade Paperback","Y","Books 23","$12.95","Continuum","","1990","256"
"0671525808","Adams, Douglas","So Long and Thanks for All the Fish  (Hitchhiker's Guide Series #4)","Science Fiction & Fantasy : Fantasy : Contemporary","","","Mass Market Paperback","Y","Books 15","$3.95","Pocket Books","August  1985","1984","204"
"0434009210","Adams, Douglas","The Long Dark Tea-time of the Soul","Science Fiction & Fantasy : Fantasy : Contemporary","","","Hardcover","Y","Books 15","$7.02","Heinemann","","1988","246"
"0345453743","Adams, Douglas","The Ultimate Hitchhiker's Guide to the Galaxy: The Hitchhiker's Guide to the Galaxy/The Restaurant at the End of the Universe/Life, the Universe and Everything/So Long, and Thanks for All the Fish/Young Zaphod Plays it Safe/Mostly Harmless","Science Fiction & Fantasy : Science Fiction : General","","5.0 Stars","Paperback","N","Emma's Studio","$11.49","Del Rey","April 30, 2002","1979,1980,1982,1986,1986,1992","815"
"0140098429","Adams, James L.","Conceptual Blockbusting : A Guide to Better Ideas","Reference : General","","","Trade Paperback","N","Books 20","$7.39","Penguin","","1974","164"
"0380002930","Adams, Richard","Watership Down","Literature & Fiction : Classics : General","","4.5 Stars","Paperback","Y","George's Office","$2.50","Avon","January 1, 1976","1972","478"
"0836217578","Adams, Scott","Build a Better Life by Stealing Office Supplies : Dogbert's Big Book of Business","Comics & Graphic Novels : Comic Strips : Dilbert","","","Oversize Paperback","Y","Books 19","$7.95","Andrews McMeel Publishing","June 1994","1991","111"
"0836221192","Adams, Scott","Fugitive from the Cubicle Police : A Dilbert Book","Comics & Graphic Novels : Comic Strips : Dilbert","","","Oversize Paperback","Y","Books 19","$8.29","Andrews McMeel Publishing","October 1996","1996","224"
"0836204158","Adams, Scott","It's Obvious You Won't Survive by Your Wits Alone : A Dilbert Book","Comics & Graphic Novels : Comic Strips : Dilbert","","","Oversize Paperback","Y","Books 19","$8.29","Andrews McMeel Publishing","November 1995","1995","255"
"0060186216","Adams, Scott","Slapped Together : The Dilbert Businss Anthology","Entertainment : Humor : General","","","Hardcover","N","2nd Floor Storeroom","$9.98","Barnes & Noble","","1997","264"
"0002558173","Adkin, Mark","Sharpe's Companion: Detailed Historical And Military Guide To Bernard Cornwell's Bestselling Series Of Sharpe Novels","Literature & Fiction : Genre Fiction : Historical","","","Hardcover","N","Books 34","$23.72","Harper Collins Canada Ltd.","November 1998","1998","322"
"0670034487","Adkins, Roy","Nelson's Trafalgar : The Battle That Changed the World","History : Europe : England : 19th Century","","4.0 Stars","Hardcover","N","George's Office","$17.61","Viking Adult","August 18, 2005","2004","392"
"0143113925","Adkins, Roy & Adkins, Lesley","The War for All the Oceans: From Nelson at the Nile to Napoleon at Waterloo","History : Military : General","","4.0 Stars","Paperback","N","George's Office","$9.99","Penguin","July 29, 2008","2006","534"
"020165895X","Adobe Creative Team","Adobe Photoshop 5.5 Classroom in a Book (Web Edition)","Computers & Internet : Graphics & Illustration : General","","","Oversize Paperback","N","Books 26","$36.00","Adobe Press","August 26, 1999","1999","537"
"","Adobe Systems","Adobe Photoshop CS: User Guide","Arts & Photography : Photography : Equipment","","","Paperback","N","2nd Floor Storeroom","$0.01","Adobe","","2003","351"
"0571114032","Aeschulus","Oresteia","Poetry, Drama & Criticism","","","Leather Bound","N","Books 39","$37.50","Easton Press","1979","1557/458 BC","177"
"020715029X","Agardy, Franklin","How to Read Faster And Better","Health, Mind & Body : Self-Help : General","","","Paperback","N","George's Office","$0.01","Angus & Robertson Publishers","","1981","123"
"0140291830","Ahmed, Leila","A Border Passage: From Cairo to America--A Woman's Journey","Biographies & Memoirs : General","","5.0 Stars","Paperback","N","Books 37","$1.00","Penguin","June 5, 2000","1999","307"
"0201101947","Aho, Alfred V.; Sethi, Ravi; Ullman, Jeffrey D.","Compilers: Principles, Techniques, and Tools (International Edition)","Computers & Internet : Computer Science","","4.5 Stars","Paperback","N","2nd Floor Storeroom","£42.74","Pearson","January 1986","1986","796"
"0811805417","Aidells, Bruce","Flying Sausages : Simple, Savory Recipes for Creating and Cooking With Chicken and Turkey Sausages","Cooking, Food & Wine : Cooking by Ingredient : Meat, Poultry & Seafood : Poultry","","","Paperback","N","Barroom","$5.88","Chronicle Books","May 1995","1992","232"
"0140291962","Airth, Rennie","River of Darkness","Mystery & Thrillers : Mystery : British Detectives","","4.0 Stars","Mass Market Paperback","N","Living Room","$7.99","Penguin","August 1, 2000","1999","435"
"0812968808","Akunin, Boris","The Death of Achilles: A Novel","Mystery & Thrillers : Mystery : Historical : Victorian","Erast Fandorin Mystery","5.0 Stars","Paperback","N","George's Office","$8.95","Random House Trade Paperbacks","April 18, 2006","1998","326"
"","Al-Anon Family Groups","Alcoholism: The Family Disease","Social Sciences : Sociology : General","","","Pamphlet","N","George's Office","$0.01","","","1972","48"
"0891343881","Albert, Greg & Wolf, Rachel (editor)","Basic Drawing Techniques","Arts & Photography : Art : Instruction & Reference : Drawing","Basic Technique Series","3.0 Stars","Paperback","N","2nd Floor Storeroom","$12.23","North Light Books","August 1, 1991","1991","121"
"0425140989","Albert, Susan Wittig","Thyme of Death: A China Bayles Mystery","Mystery & Thrillers : Mystery : Women Sleuths","China Bayles Series","4.5 Stars","Mass Market Paperback","N","George's Office","$4.50","Berkley Publishing Group","March, 1994","1992","309"
"","Albright, Nancy","The Crunchy, Juicy Cookbook","Cooking, Food & Wine : Vegetarian","","","Paperback","N","Barroom","","Rodale Press","","1977","86"
"0575039434","Aldiss, Brian","Trillion Year Spree: The History of Science Fiction","Poetry, Drama & Criticism","","books.mini.icon.22x22 Stars","Paperback","N","George's Office","$8.99","Gollancz","October 23, 1986","1986","511"
"0930044029","Aldridge, Sarah","Cytherea's Breath","Gay & Lesbian : Fiction","","","Trade Paperback","N","Books 11","","Naiad Press","","1976","213"
"094148338X","Aldridge, Sarah","Keep to Me Stranger","Gay & Lesbian : Mystery & Thrillers : Lesbian","","","Trade Paperback","Y","Books 11","","Naiad Press, Incorporated","January  1990","1989","360"
"0425150070","Alexander, Bruce","Blind Justice","Mystery & Thrillers : Mystery : Historical : Victorian","Sir John Fielding Mystery Series","4.0 Stars","Mass Market Paperback","N","George's Office","$3.95","Berkley Publishing Group","December, 1995","1994","323"
"0142004693","Alexander, Caroline","The Bounty : The True Story of the Mutiny on the Bounty","History : Military : General","","4.5 Stars","Paperback","N","George's Office","$0.01","Penguin","May 25, 2004","2003","491"
"0140442685","Alexander, Michael","Beowulf: A Verse Translation","Fiction and Literature","","","Paperback","Y","","$1.95","Viking Penguin","September  1973","1973","176"
"0201704315","Alexandrescu, Andrei","Modern C++ Design: Generic Programming and Design Patterns Applied","Computers & Internet : Programming : Languages & Tools : C & C++ & C# : General","C++ in Depth Series","4.5 Stars","Paperback","N","2nd Floor Storeroom","$39.95","Addison-Wesley Professional","February 13, 2001","2001","323"
"087113652X","Alexie, Sherman","Indian Killer","Literature & Fiction : General","","","Hardcover","N","Books 21","$4.98","The Atlantic Monthly Press","","1996","420"
"0691074992","Ali, Ahmed","Al-Qur'an","Religion: Middle Eastern Studies","","","Paperback","N","George's Office","$19.95","Princeton University Press","July  2001","1993","572"
"0394717368","Alinsky, Saul","Rules for Radicals","Society, Politics & Philosophy","","4.0 Stars","Paperback","N","George's Office","$2.50","Vintage","February 12, 1972","1971","196"
"088961170X","Allain, Carol & Elwin, Rosamund (Editor)","Getting Wet : Tales of Lesbian Seductions","Gay & Lesbian : Literature & Fiction : Fiction : Erotica : Lesbian","","","Trade Paperback","N","Master Bedroom","$14.95","Womens Press","1992","1992","174"
"0717123332","Allen, Darina","Irish Traditional Cooking","Cooking, Food & Wine : Ethnic","","","Hardcover","Y","Barroom","","Gill & MacMillan","","1995","288"
"0142000280","Allen, David","Getting Things Done : The Art of Stress-Free Productivity","Business & Investing : Business Life : Health & Stress","","4.5 Stars","Paperback","N","Emma's Studio","$10.20","Penguin","December 31, 2002","2001","267"
"0670899240","Allen, David","Getting Things Done: The Art of Stress-Free Productivity","Business & Investing : Business Life : Health & Stress","","4.5 Stars","Hardcover","N","2nd Floor Storeroom","$16.47","Penguin Putnam","January 1, 2001","2001","267"
"0670032506","Allen, David","Ready for Anything : 52 Productivity Principles for Work and Life","Business & Investing : Business Life : Time Management","","4.0 Stars","Hardcover","N","2nd Floor Storeroom","$12.97","Viking Adult","September 15, 2003","2003","165"
"1596680288","Allen, Pam & Budd, Ann","Lace Style: Traditional to Innovative, 21 Inspired Designs to Knit [ILLUSTRATED]","Crafts & Hobbies : Knitting","Style series","4.0 Stars","Paperback","N","Emma's Studio","$12.00","Interweave Press","February 2007","2007","160"
"1931499543","Allen, Pam (Editor)","Scarf Style: Innovative to Traditional, 31 Inspirational Styles to Knit and Crochet","Crafts & Hobbies : Knitting","Style series","4.0 Stars","Paperback","N","Emma's Studio","$17.00","Interweave Press","September 1, 2004","2004","152"
"1596680334","Allen, Pam (Foreword)","The Best of Interweave Knits: Our Favorite Designs from the First Ten Years","Crafts & Hobbies : Knitting","","4.0 Stars","Paperback","N","Emma's Studio","$8.00","Interweave Press","October 28, 2007","2007","160"
"","Allen, Robert E. (Editor)","Follett Vest Pocket Webster Dictionary","Reference","","","Leather Bound","N","Books 25","","Follett Publishing","","1965","288"
"","Allen, Woody","Without Feathers / Getting Even / Side Effects","Arts & Photography : Performing Arts","","","Paperback","N","George's Office","$0.25","Quality Paperback Bookclub","1989","1972, 1966, 1975","510"
"1565124219","Almond, Steve","Candyfreak : A Journey through the Chocolate Underbelly of America (an Alex Awards winner) (Alex Awards (Awards))","Business & Investing : Industries & Professions : General","","4.0 Stars","Hardcover","N","George's Office","$7.00","Algonquin Books","May 4, 2004","2004","264"
"0465001769","Alterman, Eric","What Liberal Media? The Truth About Bias and the News","Politics : General","","3.5 Stars","Hardcover","N","George's Office","$25.00","Basic Books","February 4, 2003","2003","322"
"0670032735","Alterman, Eric & Green, Mark","The Book on Bush: How George W. (Mis)leads America","Society, Politics & Philosophy : History","","4.5 Stars","Hardcover","N","George's Office","$0.22","Viking Adult","February 9, 2004","2004","419"
"0881846112","Ambler, Eric","Background to Danger","Mystery & Thrillers : Thrillers : Espionage / Intrigue","","","Mass Market Paperback","N","George's Office","$0.99","Carroll & Graf","June 1990","1937","245"
"0375713247","Ambler, Eric","Epitaph For A Spy","Mystery & Thrillers : Thrillers : Espionage / Intrigue","","","Paperback","N","George's Office","$0.60","Carroll & Graf","","1952","166"
"0345259130","Ambler, Eric","Journey Into Fear","Mystery & Thrillers : Thrillers : Espionage / Intrigue","","5.0 Stars","Paperback","N","George's Office","$0.35","Ballantine Books","September 12, 1977","1937","243"
"0521616786","Ambler, Scott W.","The Elements of UML(TM) 2.0 Style","Computers & Internet : Computer Science : Software Engineering","","4.0 Stars","Paperback","N","2nd Floor Storeroom","$9.74","Cambridge University Press","May 9, 2005","2005","188"
"0690003374","Ambuter, Carolyn","Complete Book of Needlepoint","Crafts & Hobbies : Needlepoint","","","Ring-bound","N","Emma's Studio","","HarperCollins Children's Books","January 1972","1972","147"
"0894801716","Ambuter, Carolyn","The Open Canvas","Crafts & Hobbies : Needlework","","","Paperback","N","Emma's Studio","8.50","Workman Pub Co","December 1982","1982","271"
"0836267478","Amend, Bill","Camp Foxtrot : A FoxTrot Treasury","Comics & Graphic Novels : Comic Strips : General","","","Trade Paperback","N","2nd Floor Storeroom","$5.99","Andrews McMeel Publishing","September 1998","1998","256"
"0836217594","Amend, Bill","Enormously FoxTrot : A Foxtrot Treasury","Comics & Graphic Novels : Comic Strips : General","","","Trade Paperback","Y","Books 19","$5.99","Andrews McMeel Publishing","October 1994","1994","256"
"0836218973","Amend, Bill","FoxTrot en masse : A Fox Trot Treasury","Comics & Graphic Novels : Comic Strips : General","","","Trade Paperback","Y","2nd Floor Storeroom","$5.99","Andrews McMeel Publishing","October 1992","1992","256"
"0078825121","Andersen, Virginia","Access 2000 : The Complete Reference","Computers & Internet : Microsoft : Applications : Office 2000 : Access 2000 : General","","","Oversize Paperback","N","Books 26","$31.99","Osborne McGraw-Hill","May 1999","1999","1319"
"0060392320","Anderson, Dan & Berman, Maggie","Sex Tips for Straight Women from a Gay Man","Health, Mind & Body : Psychology & Counseling : Sexuality : Human","","","Hardcover","N","Master Bedroom","$18.00","Harpercollins","September 1997","1997","192"
"0060162023","Anderson, Jean","The New German Cookbook : More Than 230 Contemporary and Traditional Recipes","Cooking, Food & Wine : Ethnic","","","Hardcover","N","Barroom","","HarperCollins","October 1993","1993","416"
"0765322722","Anderson, Kevin J. & Herbert, Brian","The Winds of Dune","Science Fiction & Fantasy : Science Fiction : Epic","","3.5 Stars","Hardcover","N","George's Office","$16.29","Tor Books","August 4, 2009","2009","448"
"0765303590","Anderson, Poul","Going for Infinity: A Literary Journey","Biographies & Memoirs : Arts & Literature : Authors","","4.5 Stars","Hardcover","N","George's Office","$0.97","Tor Books","June 1, 2002","2002","416"
"0812502701","Anderson, Poul","The Boat of a Million Years","Science Fiction & Fantasy : Science Fiction : Contemporary","","","Paperback","N","Books 16","$4.95","Tor Books","February 1994","1989","530"
"1861002882","Anderson, Richard; Homer, Alex; Robinson, Simon","Beginning Components for ASP","Computers & Internet : Programming : Web Programming : ASP","Professional Series","3.5 Stars","Paperback","N","2nd Floor Storeroom","$1.15","Wrox Press","September 1, 1999","1999","829"
"0471389226","Anderson, Ross J.","Security Engineering: A Guide to Building Dependable Distributed Systems","Computers & Internet : Business & Culture : Security","","5.0 Stars","Paperback","N","2nd Floor Storeroom","$60.19","Wiley","January 22, 2001","2001","612"
"1579652956","Anderson, Susan B.","Itty-Bitty Hats: cute and cuddly caps to knit for babies and toddlers","Crafts & Hobbies : Knitting","","4.5 Stars","Spiral-bound","N","Emma's Studio","$10.77","Artisan","June 1, 2006","2006","176"
"0062500759","Anderson, William","Green Man: The Archetype of Our Oneness with the Earth","Religion & Spirituality : New Age : General","","","Trade Paperback","N","Books 25","$14.95","HarperSanFrancisco","January 1991","1990","176"
"0946827001","Andrew Bray","Advanced User Guide for the BBC Microcomputer","Computers & Internet : Programming : General","","","Spiral-bound","N","2nd Floor Storeroom","$0.01","Cambridge Microcomputer Centre","August 1983","1983","512"
"0136373313","Andrew S. Tanenbaum","Operating Systems: Design and Implementation","Computers & Internet : Operating Systems : General","","5.0 Stars","Paperback","N","2nd Floor Storeroom","$1.00","Prentice Hall","January 1987","1987","719"
"0714109312","Andrews, Carol","The Rosetta Stone","History : Ancient : Early Civilization","","books.mini.icon.22x22 Stars","Paperback","N","George's Office","$0.10","British Museum Press","November 1981","1981","32"
"0789489074","Ang, Tom","Digital Photographer's Handbook","Arts & Photography : Photography : Digital Photography","","4.0 Stars","Hardcover","N","2nd Floor Storeroom","$9.77","DK Publishing Inc","September 1, 2002","2002","408"
"0061009431","Anscombe, Roderick","The Secret Life of Laszlo, Count Dracula","Literature & Fiction : Genre Fiction : Horror : Vampires","","4.0 Stars","Mass Market Paperback","N","Master Bedroom","$0.01","HarperCollins Publishers","November 1, 1995","1994","467"
"1561588016","Anthony, Paul","Woodworking for the Home: Storage Projects : for All Around the House","Crafts & Hobbies : Woodworking","","","Paperback","N","2nd Floor Storeroom","$21.95","Taunton","September 20, 2005","2005","282"
"0486997448","Appelbaum, Stanley (Editor)","Treasury of Chinese Designs (CD-ROM and Book)","Arts & Photography : Design","Electronic Clip Art","","Paperback","N","Emma's Studio","$5.00","Dover Publications","January 25, 2006","1987","45"
"0942256034","Appelhof, Mary","Worms Eat My Garbage","Gardening & Horticulture : General","","","Paperback","Y","Barroom","$7.97","Flowerfield Enterprises","April  1989","1982","100"
"0330418831","Archer, Jeffrey","Cat O' Nine Tales","Modern & contemporary fiction (post c 1945)","","4.0 Stars","Paperback","N","George's Office","UK1.99","Pan Publishing","September 2007","2007","277"
"0140157654","Arenas, Reinaldo","Before Night Falls: A Memoir","Biographies & Memoirs : Arts & Literature : Authors","","4.5 Stars","Paperback","N","Books 37","$1.00","Penguin","October 1, 1994","1992","317"
"0385090757","Arensberg, Conrad M.","The Irish Countryman","Social Sciences : Customs & Traditions","","","Paperback","N","George's Office","$0.50","Doubleday","June 1, 1968","1937","197"
"1931498997","Armstrong, Jerome & Moulitsas Zuniga, Markos","Crashing the Gate: Netroots, Grassroots, and the Rise of People-Powered Politics","Computers & Internet : Business & Culture : Weblogs","","4.0 Stars","Hardcover","N","2nd Floor Storeroom","$15.75","Chelsea Green Publishing Company","March 2006","2006","196"
"1400025281","Armstrong, Kelley","Industrial Magic (Women of the Otherworld Series #4)","Science Fiction & Fantasy : Fantasy","Women of the Otherworld Series","","Mass Market Paperback","N","George's Office","CAN$5.60","Random House of Canada, Limited","March 2007","2004","528"
"0764580000","Arnold II, Thomas R.","Software Testing with Visual Test 4.0","Computers & Internet : Programming : Software Design : Software Development","","","Oversize Paperback","N","","$44.99","IDG Books","","1996","506"
"190414845X","Arnold, Bruce","The Scandal of Ulysses: The Life And Afterlife of a Twentieth Century Masterpie","Literature & Fiction : History & Criticism : Criticism & Theory : General","","5.0 Stars","Paperback","N","George's Office","$18.45","Dufour Editions","November 15, 2005","2004","346"
"091378017C","Arnold, June","Applesauce","Gay & Lesbian : Fiction","","","Trade Paperback","N","Books 29","$0.98","Daughters Publishing Company","","1966","240"
"0385418027","Aronica, Lou & Stout, Amy & Mitchell, Betsy","Full Spectrum 3","Science Fiction & Fantasy : Fantasy : Anthology","","4.0 Stars","Paperback","N","George's Office","$25.00","Doubleday","May 1, 1991","1991","535"
"0553588451","Arthur, Keri","Full Moon Rising (Book 1)","Literature & Fiction : Genre Fiction : Horror : Vampires","Riley Jensen, Guardian","3.5 Stars","Mass Market Paperback","N","Emma's Studio","$3.75","Dell","December 26, 2006","2006","372"
"0312884710","Arthurs, Peter","With Brendan Behan","Biographies & Memoirs : Ethnic & National : Irish","","1.0 Stars","Hardcover","N","George's Office","$3.68","St. Martin's Press","1981","1981","297"
"0120644800","Arvo, James (Editor)","Graphics Gems II","Computers & Internet : Graphic Design : General","","5.0 Stars","Hardcover","N","2nd Floor Storeroom","$7.00","Academic Press","January 1, 1991","1991","643"
"0195178238","Asbridge, Thomas","The First Crusade : A New History","History : Europe : Medieval","","4.5 Stars","Hardcover","N","Master Bedroom","$23.10","Oxford University Press, USA","October 1, 2004","2004","408"
"156352628X","Asher, Joey","Even a Geek Can Speak: Low-Tech Presentation Skills for High-Tech People","Business & Investing : Business Life : Communication : General","","5.0 Stars","Paperback","N","2nd Floor Storeroom","$9.72","Longstreet Press","April 2001","2001","188"
"185868577X","Ashford, Rod","Erotique","Arts & Photography : Photography : Erotic","","books.mini.icon.22x22 Stars","Unknown Binding","N","Master Bedroom","$1.88","Carlton Books Ltd","September 30, 1999","1998","224"
"0486460843","Ashforth, Pat","Woolly Thoughts: Unlock Your Creative Genius with Modular Knitting","Crafts & Hobbies : Knitting","","5.0 Stars","Paperback","N","Emma's Studio","$8.95","Dover Publications","August 31, 2007","1994","128"
"0786712414","Ashley, Mike  (Editor)","The Mammoth Book of Roman Whodunnits","Mystery & Thrillers : Mystery : Ancient Rome","","4.0 Stars","Paperback","N","George's Office","$6.00","Carroll & Graf Publishers","October, 2003","2003","526"
"0786702141","Ashley, Mike (Editor)","The Mammoth Book of Historical Detectives","Literature & Fiction : Genre Fiction : Anthologies","","4.0 Stars","Paperback","N","George's Office","$3.97","Carroll & Graf Publishers","August, 1995","1995","532"
"067149404X","Asimov, Isaac","Asimov on Numbers","Reference","","","Paperback","N","Books 25","$1.95","Pocket Books","","1977","286"
"0140076212","Asimov, Isaac","Asimov's New Guide to Science","Science & Nature","","books.mini.icon.22x22 Stars","Paperback","N","George's Office","","Penguin Books Ltd","March 26, 1987","1984","880"
"0440504813","Aslett, Don","The Cleaning Encyclopedia","Home & Garden : How-to & Home Improvements","","","Oversize Paperback","N","Barroom","","Dell","","1984","397"
"0897917847","Association for Computing Machinery (Editor)","SIGGRAPH 96 Visual Proceedings : International ACM Conference on Computer Graphics and Interactive Techniques","Computers & Internet : Graphic Design : General","","","Oversize Paperback","N","Books 28","","Association for Computing Machinery","October  1996","1996","238"
"1855857847","Atha, Antony","The Container Kitchen Garden","Gardening & Horticulture : Container Gardening","","","Hardcover","Y","Barroom","$24.95","Collins & Brown","May 2000","2000","160"
"076790690X","Atlas, Nava","Vegetarian 5-Ingredient Gourmet","Cooking, Food & Wine : Vegetarian","","","Paperback","Y","Barroom","$12.76","Broadway Books","June 19, 2001","2001","262"
"0563387920","Attenborough, David","Life of Birds","Outdoors & Nature : Birdwatching","","5.0 Stars","Hardcover","N","Master Bedroom","$1.48","London Bridge","August 31, 1998","1998","320"
"0553282476","Atwood, Margaret","Cat's Eye","Literature & Fiction : World Literature : Canada","","","Mass Market Paperback","N","Books 29","$3.00","Bantam Books","","1988","445"
"0449212602","Atwood, Margaret Eleanor","The Handmaid's Tale","Science Fiction & Fantasy : Fantasy : Contemporary","","","Mass Market Paperback","N","Books 29","$4.46","Fawcett Crest","","1985","395"
